> SELECT n.name agency, c.name camera FROM network n INNER JOIN camera c ON n.network_id = c.network_id ORDER BY n.name, c.name LIMIT 2000;
+----------------------------------+---------------------------------------------------------------------------------------------------------+
| agency                           | camera                                                                                                  |
| Hayward CA PD                    | #09 WB W Tennyson Rd (#2 lane& 880 OR) @ Patrick Ave                                                    |
| Hayward CA PD                    | #10 WB A St @ Hathaway Ave                                                                              |
| Hayward CA PD                    | #11 EB W Winton Ave (#2,#3 Lanes) @ Southland Dr                                                        |
| Hayward CA PD                    | #12 WB Industrial Pkwy W (lanes 1&2)@ Stratford Rd                                                      |
| Hayward CA PD                    | #13 EB Industrial Pkwy (#1,#2 Lanes) @ Hopkins St                                                       |
| Hayward CA PD                    | #14 EB W A St @ Garden Ave                                                                              |
| Hayward CA PD                    | #15 EB W Tennyson Rd @ Calaroga Ave                                                                     |
| Hayward CA PD                    | #16 SB Hesperian Blvd @ S Pepsi Dr                                                                      |
| Hayward CA PD                    | #17 NB Hesperian Blvd (#1,#2 Lanes) @ Golf Course Rd                                                    |
| Hayward CA PD                    | #18 NB Mission Blvd @ Lafayette Ave                                                                     |
| Hayward CA PD                    | #19 EB Jackson St (lanes 2&3) @ Santa Clara St                                                          |
| Hayward CA PD                    | #20 EB Jackson St (#1 lane) @ Santa Clara                                                               |
| Hayward CA PD                    | #21 EB Harder Rd @ Dollar St                                                                            |
| Hayward CA PD                    | #22 WB W A St @ Garden Ave                                                                              |
| Hayward CA PD                    | #23 SB Mission Blvd @ Lafayette Ave                                                                     |
| Hayward CA PD                    | #24 SB Mission Blvd @ Sunset Blvd                                                                       |
| Hayward CA PD                    | #25 NB Mission Blvd @ A St                                                                              |
| Hayward CA PD                    | #26 WB A St @ 3rd St                                                                                    |
| Hayward CA PD                    | #27 NB Gading Rd @ Schafer Rd                                                                           |
| Hayward CA PD                    | #28 NB Huntwood Ave @ Celia St                                                                          |
| Hercules CA PD                   | 01 - SB Sycamore @ Palm Ave (from Claeys Ranch)                                                         |
| Hercules CA PD                   | 02 - NB Sycamore Ave @ Palm Ave                                                                         |
| Hercules CA PD                   | 03 - SB Sycamore Ave @ Lupine Rd                                                                        |
| Hercules CA PD                   | 04 - EB Lupine @ Heather Ave                                                                            |
| Hercules CA PD                   | 05 - EB Redwood Rd @ Chestnut Dr                                                                        |
| Hercules CA PD                   | 06 - WB Refugio Valley Rd @ Partridge Dr                                                                |
| Hercules CA PD                   | 07 - EB Refugio Valley Rd @ Hercules High School (near football field)                                  |
| Hercules CA PD                   | 08 - WB Pheasant Dr @ Swallow Way (towards Ohlone Elementary)                                           |
| Hercules CA PD                   | 09 - EB Refugio Valley Rd @ Pheasant Dr                                                                 |
| Hercules CA PD                   | 10 - SB Turquoise Dr @ Rite Aid (towards Crystal Circle)                                                |
| Hercules CA PD                   | 11 - WB Sycamore Ave @ Willow Ave (Clock Tower)                                                         |
| Hercules CA PD                   | 12 - EB Sycamore Ave @ Creekside (prior to 1500 Sycamore)                                               |
| Hercules CA PD                   | 13 - NB Willow Ave @ EB Hwy 4 On Ramp (towards BART Lot)                                                |
| Hercules CA PD                   | 14 - SB Willow Ave @ Sycamore Ave (towards Shell Gas)                                                   |
| Hercules CA PD                   | 15 - SB San Pablo Ave @ Hercules Ave (towards Pinole)                                                   |
| Hercules CA PD                   | 16 - WB Sycamore Ave @ S Front St                                                                       |
| Hercules CA PD                   | 17 - NB San Pablo Ave @ Hercules Ave (prior to Tsushima)                                                |
| Hercules CA PD                   | 18 - WB Hercules Ave @ Titan Way                                                                        |
| Hercules CA PD                   | 19 - SB San Pablo Ave @ John Muir Pkwy                                                                  |
| Hercules CA PD                   | 20 - WB John Muir Pkwy @ Alfred Nobel                                                                   |
| Hercules CA PD                   | 21 - SB San Pablo Ave @ Victoria Crescent West                                                          |
| Hercules CA PD                   | 22 - NB San Pablo Ave @ Victoria Crescent East                                                          |
| Hercules CA PD                   | 23 - EB Willow Ave @ Cambridge                                                                          |
| Hercules CA PD                   | 24 - SB Canterbury @ Bristol (Foxboro)                                                                  |
| Hercules CA PD                   | 25 - NB Willow Ave @ WB Hwy 4 Off (IFO 1231 Willow)                                                     |
| Hillsborough CA PD               | #04 Floribunda Ave @ El Camino Real WB                                                                  |
| Hillsborough CA PD               | #05 Forest View Ave @ Crocket Ln WB                                                                     |
| Hillsborough CA PD               | #06 West Santa Inez @ Severn LN WB                                                                      |
| Hillsborough CA PD               | #07 El Cerrito Ave @ Gramercy Dr WB                                                                     |
| Hillsborough CA PD               | #08 Stonehedge Rd @ Baywood Ave NB                                                                      |
| Hillsborough CA PD               | #09 Tournament Dr @ Yale Dr WB                                                                          |
| Hillsborough CA PD               | #10 Tartan Trail Rd @ Lakeview Dr NB                                                                    |
| Hillsborough CA PD               | #12 La Honda Rd @ San Raymundo Rd - WB                                                                  |
| Hillsborough CA PD               | 01: Golf Course Dr EB @ Black Mountain Rd                                                               |
| Hillsborough CA PD               | 02: Skyline Blvd NB @ Summit Dr                                                                         |
| Hillsborough CA PD               | 03: Ralston Ave WB @ Eucalyptus                                                                         |
| Hillsborough CA PD (Flex)        | Flex Camera -Ralston at Barbara, EB                                                                     |
| Kaiser Permanente - Vallejo (CA) | #01 Main Driveway/Lot 4 Inbound                                                                         |
| Kaiser Permanente - Vallejo (CA) | #02 ED LOT ENTRANCE INBOUND                                                                             |
| Kaiser Permanente - Vallejo (CA) | #03 ENTRANCE UPPER LOT 7/SIDE ED/LOADING DOCK                                                           |
| Kaiser Permanente - Vallejo (CA) | #04 INBOUND ENTRANCE CUP/UPPER LOT 8                                                                    |
| Kaiser Permanente - Vallejo (CA) | #05 AMRS INBOUND TO PARKING LOT                                                                         |
| Kaiser Permanente - Vallejo (CA) | #06 MAIN STREET IN FRONT OF AMRS AND FOOD BASKET                                                        |
| Kaiser Permanente - Vallejo (CA) | #07 CALL CENTER INBOUND MAIN ENTRANCE                                                                   |
| Kaiser Permanente - Vallejo (CA) | #08 CALL CENTER INBOUND BACK SIDE OF PROPERTY                                                           |
| Kaiser Permanente - Vallejo (CA) | #09 CALL CENTER CAPTURES SUSPECT VEHICLES DRIVING BY ON MAIN ROAD                                       |
| Kaiser Permanente - Vallejo (CA) | #10 - MAIN ENTRY VEHICLE TURNING TOWARDS FRONT OF PROPERTY FROM ED LOT                                  |
| Kaiser Permanente - Vallejo (CA) | #11 MEMBERS GARAGE - INBOUND                                                                            |
| Kaiser Permanente - Vallejo (CA) | #12 EMPLOYEE GARAGE SB - INBOUND                                                                        |
| Kaiser Permanente - Vallejo (CA) | #13 N Camino Alto SB @ Sereno Dr                                                                        |
| La Habra CA PD                   | #01: N Harbor Dr @ E Lambert Rd - NB                                                                    |
| La Habra CA PD                   | #02: Harbor Blvd @ Arbolita Dr - SB                                                                     |
| La Habra CA PD                   | #03: E La Habra Blvd @ Palm St - WB                                                                     |
| La Habra CA PD                   | #04: W La Habra Blvd @ Valley Home Ave - EB                                                             |
| La Habra CA PD                   | #05: S Idaho St @ W Risner Way - NB                                                                     |
| La Habra CA PD                   | #06: Euclid St @ E Country Hills Dr - NB                                                                |
| La Habra CA PD                   | #07: Whittier Blvd & La Bonita Park - EB                                                                |
| Lakeport CA PD                   | #01 Lakeshore Blvd @ Beach Ln - SB                                                                      |
| Lakeport CA PD                   | #02 Hartley St @ Anastasia Dr - SB                                                                      |
| Lakeport CA PD                   | #03 Eleventh St @ Scotts Valley Rd - EB                                                                 |
| Lakeport CA PD                   | #04 Martin St @ Shirley Ct - EB                                                                         |
| Lakeport CA PD                   | #05  Lakeport Blvd @ Bevins St - EB                                                                     |
| Lakeport CA PD                   | #06 S Main St @ Peckham Ct - NB                                                                         |
| Lakeport CA PD                   | #07 N Forbes St @ 9th St - SB                                                                           |
| Lakeport CA PD                   | #08 S Main St @ K St - NB                                                                               |
| Lakeport CA PD                   | #10 School @ Lange st                                                                                   |
| Livermore CA PD                  | #01 101 - Kitty Hawk WB at Isabel Ave                                                                   |
| Livermore CA PD                  | #02 102 - Kitty Hawk EB at Airway Blvd                                                                  |
| Livermore CA PD                  | #03 301 - Altamont Pass Rd WB @ I580 WB Onramp                                                          |
| Livermore CA PD                  | #04 203 - Las Positas Rd WB @ Las Colinas Rd                                                            |
| Livermore CA PD                  | #05 204 - Vasco Rd NB north of Garaventa Ranch                                                          |
| Livermore CA PD                  | #06 201 - Arroyo Plaza EB at N. Livermore                                                               |
| Livermore CA PD                  | #07 - 401 - Hw84 NB @ Vallecitos                                                                        |
| Livermore CA PD                  | #08 202 - Las Positas EB from N. Livermore                                                              |
| Livermore CA PD                  | #09 402 - Concannon EB from Hw84                                                                        |
| Livermore CA PD                  | #10 103 - E Jack London Blvd EB from Hw84                                                               |
| Livermore CA PD                  | #11 104 - Rutan SB from Airway                                                                          |
| Livermore CA PD                  | #12 105 - Zeppelin @ Wright Brothers                                                                    |
| Livermore CA PD                  | #13 302 - East Av WB from Vasco Rd                                                                      |
| Livermore CA PD                  | #14 303 - Charlotte Wy NB from East Av                                                                  |
| Livermore CA PD                  | #15 106 - WB Chestnut St from N. Livermore Ave                                                          |
| Livermore CA PD                  | #16 107 - Chestnut St EB from N. P St                                                                   |
| Livermore CA PD                  | Wing Test 1                                                                                             |
| Los Alamitos PD CA               | #01 WB Katella @ Epson Way (NCL)                                                                        |
| Los Alamitos PD CA               | #02 WB Katella @ Epson Way (SCL)                                                                        |
| Los Alamitos PD CA               | #03 EB Katella @ Epson Way (NCL)                                                                        |
| Los Alamitos PD CA               | #04 EB Katella @ Epson Way (SCL)                                                                        |
| Los Alamitos PD CA               | #05 WB Katella @ Saratoga Dr (SCL)                                                                      |
| Los Alamitos PD CA               | #06 WB Katella @ Lexington (NCL)                                                                        |
| Los Alamitos PD CA               | #07 EB Katella @ Winners Circle (SCL)                                                                   |
| Los Alamitos PD CA               | #08 EB Katella @ Winners Circle (NCL)                                                                   |
| Los Alamitos PD CA               | #09 EB Cerritos @ Claremore                                                                             |
| Los Alamitos PD CA               | #10 WB Cerritos @ Bloomfield                                                                            |
| Los Alamitos PD CA               | #11 SB Bloomfield @ Ball                                                                                |
| Los Alamitos PD CA               | #12 SB Los Alamitos @ Carbon Creek                                                                      |
| Milpitas CA PD                   | 01: Ranch Dr (North Entrance)                                                                           |
| Milpitas CA PD                   | 02: Ranch Dr (South Entrance)                                                                           |
| Milpitas CA PD                   | 03: Ranch Dr (South Exit)                                                                               |
| Milpitas CA PD                   | 04: Eastbound Bellew Dr                                                                                 |
| Milpitas CA PD                   | 05: Northbound Barber Ln/ Station 4                                                                     |
| Milpitas CA PD                   | 06: Entrance to GMBA/McCandless Dr                                                                      |
| Milpitas CA PD                   | 07: Entrance to GMBA/ Mustang Dr                                                                        |
| Milpitas CA PD                   | 08: Southbound N. Milpitas Bl/Wilson Wy                                                                 |
| Milpitas CA PD                   | 09: Northbound S. Main St/Great Mall Pk                                                                 |
| Milpitas CA PD                   | 10: Eastbound Curtis Av/Comet Dr                                                                        |
| Milpitas CA PD                   | 11: Westbound W. Calaveras Bl/Serra Wy                                                                  |
| Milpitas CA PD                   | 12: Southbound Piedmont Rd/ E. Calaveras Bl.                                                            |
| Milpitas CA PD                   | 13: Westbound W. Calaveras Bl/Butler St.                                                                |
| Milpitas CA PD                   | 14: Northbound Piedmont Rd/Landess Av                                                                   |
| Milpitas CA PD                   | 15: Eastbound W. Calaveras Bl/Serra Wy                                                                  |
| Milpitas CA PD                   | 16: Northbound Evans/E. Calaveras Bl                                                                    |
| Milpitas CA PD                   | 17: Southbound S. Temple Dr/E. Calaveras Bl                                                             |
| Milpitas CA PD                   | 18: Eastbound W. Calaveras Bl/Butler St.                                                                |
| Milpitas CA PD                   | 19: Westbound Landess Ave/Piedmont Rd                                                                   |
| Milpitas CA PD                   | 20: Northbound Yellowstone Ave/Landess Ave                                                              |
| Milpitas CA PD                   | 21: SB S. Abel St N/of W. Capitol Av                                                                    |
| Milpitas CA PD                   | 22: NB S. Main St @ Cedar Way                                                                           |
| Milpitas CA PD                   | 23: SB S. Abel St. S/of Junipero Dr                                                                     |
| Milpitas CA PD                   | 24: NB S. Main St. S/of Serra Wy.                                                                       |
| Milpitas CA PD                   | 25: SB N. Abbott Av. N/of W. Calaveras Bl.                                                              |
| Milpitas CA PD                   | 26: SB N Abbott Av @ Valley Wy.                                                                         |
| Milpitas CA PD                   | 27: NB S. Park Victoria Dr. N/of Landess Av                                                             |
| Milpitas CA PD                   | 28: WB Yosemite Dr. W/of Piedmont Rd.                                                                   |
| Milpitas CA PD                   | 29: WB Jacklin Rd @ HWY I680                                                                            |
| Milpitas CA PD                   | 30: WB E. Calaveras Bl. W/of transition road of SBI680                                                  |
| Milpitas CA PD                   | 31: EB Dixon Landing Rd. E/of California Cir.                                                           |
| Milpitas CA PD                   | 32: EB Jacklin Rd. E/of I680                                                                            |
| Milpitas CA PD                   | 33: NB N. Park Victoria Dr. N/of E. Calaveras Bl.                                                       |
| Milpitas CA PD                   | 34: SB S. Park Victoria Dr. S/of Dempsey Rd.                                                            |
| Milpitas CA PD                   | 35: NB N. McCarthy Bl. S/of Dixon Landing Rd                                                            |
| Morgan Hill CA PD                | #26 Hill Rd @ Diana Ave - NB                                                                            |
| Morgan Hill CA PD                | #27 Hill Rd @ Diana Ave - SB                                                                            |
| Morgan Hill CA PD                | #28 Watsonville Rd @ Via Corfinio - EB                                                                  |
| Morgan Hill CA PD                | #29 Santa Teresa Blvd @ Sunshine St - NB                                                                |
| Morgan Hill CA PD                | #30 Santa Teresa Blvd @ Sunshine St - SB                                                                |
| Morgan Hill CA PD                | #31 Monterey Rd @ E Middle Ave - NB                                                                     |
| Morgan Hill CA PD                | #32 Monterey Rd @ E Middle Ave - SB                                                                     |
| Morgan Hill CA PD                | #33 Hill Rd @ Barrett Ave - NB                                                                          |
| Morgan Hill CA PD                | #34 Hill Rd @ Barrett Ave - SB                                                                          |
| Morgan Hill CA PD                | #35 Monterey Rd @ W Main Ave - SB                                                                       |
| Morgan Hill CA PD                | #36 Monterey Rd @ E Main Ave - NB                                                                       |
| Morgan Hill CA PD                | #37 Monterey Rd @ W Dunne Ave - SB                                                                      |
| Morgan Hill CA PD                | #38 E Dunne Ave @ Monterey Rd - EB                                                                      |
| Morgan Hill CA PD                | #39 Monterey Rd @ E 5th St - NB                                                                         |
| Morgan Hill CA PD                | #40 Butterfield Blvd @ Tennant Ave - NB                                                                 |
| Morgan Hill CA PD                | #41 Butterfield Blvd @ Tennant Ave - SB                                                                 |
| Morgan Hill CA PD                | #42 Butterfield Blvd @ E Dunne Ave - NB                                                                 |
| Morgan Hill CA PD                | #43 Butterfield Blvd @ E Dunne Ave - SB                                                                 |
| Morgan Hill CA PD                | #44 E Dunne Ave @ Butterfield Blvd - WB                                                                 |
| Morgan Hill CA PD                | #45 E Dunne Ave @ Butterfield Blvd - EB                                                                 |
| Morgan Hill CA PD                | #46 Hale Ave @ Wright Ave - NB                                                                          |
| Morgan Hill CA PD                | #47 Hale Ave @ E Main Ave - SB                                                                          |
| Morgan Hill CA PD                | #48 Tilton Ave @ Dougherty Ave - EB                                                                     |
| Morgan Hill CA PD                | #49 Tilton Ave @ Dougherty Ave - WB                                                                     |
| Morgan Hill CA PD                | #50 Monterey Rd @ Manresa Ln - SB                                                                       |
| Morgan Hill CA PD                | 01: Cochrane EB @ HWY 101                                                                               |
| Morgan Hill CA PD                | 02: Cochrane Rd WB @ HWY 101                                                                            |
| Morgan Hill CA PD                | 03: Dunne Ave EB @ HWY 101 (Lane 1 & 2)                                                                 |
| Morgan Hill CA PD                | 04: Dunne Ave EB @ HWY 101 (Lane 3)                                                                     |
| Morgan Hill CA PD                | 05: Dunne Ave WB @ HWY 101                                                                              |
| Morgan Hill CA PD                | 06: Tennant EB @ HWY 101                                                                                |
| Morgan Hill CA PD                | 07: Tennant Ave WB @ HWY 101                                                                            |
| Morgan Hill CA PD                | 08: Monterey SB @ Tilton                                                                                |
| Morgan Hill CA PD                | 09: Hale SB @ Tilton                                                                                    |
| Morgan Hill CA PD                | 10: Llagas EB @ Teresa Ln                                                                               |
| Morgan Hill CA PD                | 11: Dewitt NB @ Spring                                                                                  |
| Morgan Hill CA PD                | 12: EB Edmundson @ Olympic                                                                              |
| Morgan Hill CA PD                | 13: Monterey NB @ Butterfield                                                                           |
| Morgan Hill CA PD                | 14: Butterfield NB @ Monterey                                                                           |
| Morgan Hill CA PD                | 15: Butterfield SB @ Cochrane                                                                           |
| Morgan Hill CA PD                | 16: Monterey SB @ Cochrane                                                                              |
| Morgan Hill CA PD                | 17: Monterey NB @ Cochrane                                                                              |
| Morgan Hill CA PD                | 18: Butterfield NB @ Maine                                                                              |
| Morgan Hill CA PD                | 19: Butterfield SB @ Maine                                                                              |
| Morgan Hill CA PD                | 20: Dunne EB @ Hill                                                                                     |
| Morgan Hill CA PD                | 21: Cochrane EB @ HWY 101                                                                               |
| Morgan Hill CA PD                | 22: Dunne EB @ HWY 101                                                                                  |
| Morgan Hill CA PD                | 23: Tennant EB @ HWY 101                                                                                |
| Morgan Hill CA PD                | 24: Monterey SB @ Butterfield                                                                           |
| Morgan Hill CA PD                | 25: Monterey NB @ Burnett                                                                               |
| NCRIC                            | #01 3rd Street and Riverside                                                                            |
| NCRIC                            | #02 Coyote Point                                                                                        |
| NCRIC                            | #03 Great Century Mall 2                                                                                |
| NCRIC                            | #04 Great Century Mall                                                                                  |
| NCRIC                            | #06 Ocean Street and Water Street                                                                       |
| NCRIC                            | #07  Eucalyptus Drive @ Hwy 29                                                                          |
| NCRIC                            | #08 SFIA 2                                                                                              |
| NCRIC                            | #09 BoA SF                                                                                              |
| NCRIC                            | #10 USB SF                                                                                              |
| NCRIC                            | #11 American Canyon Rd @ Via Firenze                                                                    |
| NCRIC                            | #12 Alexander Ave                                                                                       |
| NCRIC                            | #13 NB Hwy 221 @ Anderson                                                                               |
| NCRIC                            | #14 29 NB @ Imola 1                                                                                     |
| NCRIC                            | #15 Napa Vallejo Hwy @ Kaiser                                                                           |
| NCRIC                            | #16 29 SB @ Sonoma Highway 2                                                                            |
| NCRIC                            | DEC Gonzales                                                                                            |
| Newark CA PD                     | #01 SB Newark Blvd N of EB 84 Offramp (median)                                                          |
| Newark CA PD                     | #02 SB Newark Blvd S of EB 84 Offramp (west curb)                                                       |
| Newark CA PD                     | #03 EB Thornton Ave E of 84 Offramp (median)                                                            |
| Newark CA PD                     | #04 WB Thornton Ave W of I-880 (north curb)                                                             |
| Newark CA PD                     | #05 EB Thornton Ave W of I-880 (median)                                                                 |
| Newark CA PD                     | #06 WB Central Ave on I-880 overpass (north curb)                                                       |
| Newark CA PD                     | #07 WB Mowry Ave W of I-880 (north curb)                                                                |
| Newark CA PD                     | #08 WB Mowry Ave W of I-880 (median)                                                                    |
| Newark CA PD                     | #09 NB Cherry St N of Stevenson Blvd (median)                                                           |
| Newark CA PD                     | #10 NB Cherry St N of Stevenson Blvd (east curb)                                                        |
| Newark CA PD                     | #11 WB Stevenson Blvd W of Balentine Dr (north curb)                                                    |
| Newark CA PD                     | #12 WB Stevenson Blvd W of Balentine Dr (median)                                                        |
| Newark CA PD                     | #13 NB Balentine Dr N of Stevenson Blvd (median)                                                        |
| Newark CA PD                     | #14 NB Newark Blvd @ Safeway entrance (median)                                                          |
| Newark CA PD                     | #15 NB Newark Blvd @ Safeway entrance (east curb)                                                       |
| Newark CA PD                     | #16 EB Thornton Ave E of Cedar Blvd (south curb)                                                        |
| Newark CA PD                     | #17 EB Central on I-880 overpass (south curb)                                                           |
| Newark CA PD                     | #18 EB Mowry Ave W of I-880 (south curb)                                                                |
| Newark CA PD                     | #19 WB Mowry Ave E of Alpenrose (median)                                                                |
| Newark CA PD                     | #20 WB Thornton Ave W of Gateway Blvd                                                                   |
| Novato CA PD                     | 01: Rowland Blvd EB @ Vintage Way                                                                       |
| Novato CA PD                     | 02: Vintage Way SB @ Rowland Blvd EB                                                                    |
| Novato CA PD                     | 03: Rowland Blvd WB @ HWY 101 OUTBOUND (Lane 1 & 2)                                                     |
| Novato CA PD                     | 04: Rowland Blvd WB @ HWY 101 OUTBOUND (Lane 2 & 3)                                                     |
| Oakley CA PD                     | 01: Bridgehead Rd SB @ Wilbur                                                                           |
| Oakley CA PD                     | 02: Oakley Rd EB @ Calle De Oro                                                                         |
| Oakley CA PD                     | 03: Ohara NB @ Neroly                                                                                   |
| Oakley CA PD                     | 04: Main St NB @ Delta                                                                                  |
| Oakley CA PD                     | 10: Cypress WB @ Knightsen                                                                              |
| Ontario CA PD                    | #01 - NB Benson Ave & W Mission                                                                         |
| Ontario CA PD                    | #01 N Lemon Ave @ E D St - SB                                                                           |
| Ontario CA PD                    | #02 - SB Benson & W Mission                                                                             |
| Ontario CA PD                    | #02 E C St @ Euclid - EB                                                                                |
| Ontario CA PD                    | #03 - EB Holt & Laurel (Lane 1-2)                                                                       |
| Ontario CA PD                    | #03 N Lemon Ave @ E B St - NB                                                                           |
| Ontario CA PD                    | #04 - WB Holt & Lemon Ave (Lane 1-2)                                                                    |
| Ontario CA PD                    | #04 Westwind Community Center @ E Riverside Dr - NB                                                     |
| Ontario CA PD                    | #05 - WB Holt & Lemon (Lane 3)                                                                          |
| Ontario CA PD                    | #06 - NB Euclid Ave & B St (Lane 1-2)                                                                   |
| Ontario CA PD                    | #07 - NB Euclid & B St (Lane 3)                                                                         |
| Ontario CA PD                    | #08 - SB Euclid & B St (Lane 1-2)                                                                       |
| Ontario CA PD                    | #09 - SB Euclid & B St (Lane 3)                                                                         |
| Ontario CA PD                    | #10 - EB Mission & Benson                                                                               |
| Ontario CA PD                    | #11 - WB Mission & Benson                                                                               |
| Ontario CA PD                    | #12 - SB Gurnee Ave x Fourth St (Lanes 1-2)                                                             |
| Ontario CA PD                    | #13 - Gurnee Ave x Fourth St (Lane 3)                                                                   |
| Ontario CA PD                    | #14 - SB Franklin Ave (Lane 1-2)                                                                        |
| Ontario CA PD                    | #15 - NB Ontario Mills Dr & Fourth Street (Lanes 1-2)                                                   |
| Ontario CA PD                    | #16 - NB Ontario Mills Dr & Fourth Street (Lane 3)                                                      |
| Ontario CA PD                    | #17 - NB Rochester Ave                                                                                  |
| Ontario CA PD                    | #18 - NB S Ontario Mills Dr & Ontario Mills Pkwy (Lane 1-2)                                             |
| Ontario CA PD                    | #19 - Ontario Mills Dr & Ontario Mills Pkwy (Lane 3)                                                    |
| Ontario CA PD                    | #20 - NB Franklin Ave & Ontario Mills                                                                   |
| Ontario CA PD                    | #21 - EB Mall Dr & N Miliken (Lane 1-2)                                                                 |
| Ontario CA PD                    | #22 - EB Mall Dr & N Miliken Ave (Lane 3)                                                               |
| Ontario CA PD                    | #23 - EB Concours St & N Miliken Ave (Lane 1-2) - Relocation                                            |
| Ontario CA PD                    | #24 -NB Mills Circle N/O Concours St (Lanes 1-2)                                                        |
| Ontario CA PD                    | #25 - Euclid and Park southbound traffic                                                                |
| Ontario CA PD                    | #26 – S San Antonio NO El Morado                                                                        |
| Ontario CA PD                    | #27 - WB Terminal Way OIA                                                                               |
| Ontario CA PD                    | #28- SB S W Way (Value Lot) OIA                                                                         |
| Ontario CA PD                    | #29 - NB S W Way x E Terminal Way OIA                                                                   |
| Ontario CA PD                    | #30 - WB Terminal Way (Lot 2) OIA                                                                       |
| Ontario CA PD                    | #31 - WB Terminal Way (past Lot 2 Entry) OIA                                                            |
| Ontario CA PD                    | #32 - Terminal Way x E Airport (Exit) OIA                                                               |
| Ontario CA PD                    | #33 - SB E Terminal Way x E Airport (Entry) OIA                                                         |
| Ontario CA PD                    | #34 - NB S E Way (Permit Lot) OIA                                                                       |
| Ontario CA PD                    | #35 - SB S E Way (Lot 4) OIA                                                                            |
| Ontario CA PD                    | #36 -John Bangs Dr (Rental Car) OIA                                                                     |
| Ontario CA PD                    | #37 - NB E Terminal Way (exit) OIA                                                                      |
| Ontario CA PD                    | #38 - WB Terminal Way x E Terminal Way OIA                                                              |
| Ontario CA PD                    | #39 - WB Terminal Way (Lot 6) OIA                                                                       |
| Ontario CA PD                    | #40 - EB Mission @ Grove (Lanes 2-3)                                                                    |
| Ontario CA PD                    | #41 - EB Mission @ Grove (Lane 1)                                                                       |
| Ontario CA PD                    | #42 - NB Grove @ Mission (Lanes 1-2)                                                                    |
| Ontario CA PD                    | #43 - NB Grove @ Mission (Lanes 2-3)                                                                    |
| Ontario CA PD                    | #44 - WB Mission @ Grove                                                                                |
| Ontario CA PD                    | #45 - SB Grove @ Mission (Lanes 1-2)                                                                    |
| Ontario CA PD                    | #46 - SB Grove @ Mission (Lanes 2-3)                                                                    |
| Ontario CA PD                    | #47 - EB Holt @ Vineyard                                                                                |
| Ontario CA PD                    | #48 - NB Vineyard @ Holt (Lanes 2-3)                                                                    |
| Ontario CA PD                    | #49 - NB Vinyard @ Holt (Lanes 1-2)                                                                     |
| Ontario CA PD                    | #50 - WB Holt @ Vineyard                                                                                |
| Ontario CA PD                    | #51 - SB Vineyard @ Holt (Lane 1-2)                                                                     |
| Ontario CA PD                    | #52 - SB Vineyard @ Holt (Lanes 2-3)                                                                    |
| Ontario CA PD                    | #53 - WB Philadelphia @ Grove                                                                           |
| Ontario CA PD                    | #54 - EB Philadelphia @ Grove                                                                           |
| Ontario CA PD                    | #55 - NB Euclid @ Mission                                                                               |
| Ontario CA PD                    | #56 - EB Mission @ Euclid                                                                               |
| Ontario CA PD                    | #57 - SB Euclid @ Mission                                                                               |
| Ontario CA PD                    | #58 - WB Mission @ Euclid                                                                               |
| Ontario CA PD                    | #59 - NB Grove @ 4th                                                                                    |
| Ontario CA PD                    | #60 - EB 4th @ Grove                                                                                    |
| Ontario CA PD                    | #61 - SB Grove @ 4th                                                                                    |
| Ontario CA PD                    | #62 - WB 4th @ Grove                                                                                    |
| Ontario CA PD                    | #63 - NB Haven @ Jurupa (Lanes 2-3)                                                                     |
| Ontario CA PD                    | #64 - EB Jurupa @ Haven (Lanes 2-3)                                                                     |
| Ontario CA PD                    | #65 - EB Jurupa @ Haven (Lanes 1-2)                                                                     |
| Ontario CA PD                    | #66 - SB Haven @ Jurupa (Lanes 1-2)                                                                     |
| Ontario CA PD                    | #67 - SB Haven @ Jurupa (Lanes 2-3)                                                                     |
| Ontario CA PD                    | #68 - WB Jurupa @ Haven                                                                                 |
| Ontario CA PD                    | #69 - NB Hamner @ Ontario Ranch LN1 - Original                                                          |
| Ontario CA PD                    | #70 - WB Ontario Ranch @ Hamner                                                                         |
| Ontario CA PD                    | #71 - NB Archibald @ Merrill                                                                            |
| Ontario CA PD                    | #72 - NB Mountain @ Holt                                                                                |
| Ontario CA PD                    | #73 - EB Holt @ Mountain                                                                                |
| Ontario CA PD                    | #74 - SB Mountain @ Holt LN 1&2                                                                         |
| Ontario CA PD                    | #75 - SB Mountain @ Holt (Lane 3 -Turn Lane)                                                            |
| Ontario CA PD                    | #76 - WB Holt @ Mountain                                                                                |
| Ontario CA PD                    | #77 - EB 8th @ Vineyard                                                                                 |
| Ontario CA PD                    | #78 - SB Vineyard @ 8th                                                                                 |
| Ontario CA PD                    | #79 - WB-8th @ Vinyard                                                                                  |
| Ontario CA PD                    | #80 - NB Hamner @ Ontario Ranch                                                                         |
| Ontario CA PD                    | Anthony Munoz Entrance                                                                                  |
| Ontario CA PD                    | MUC - N. Employee PL Cam West View                                                                      |
| Ontario CA PD                    | MUC - S. Employee PL West View                                                                          |
| Ontario CA PD                    | MUC - S. PL Fleet Camera West View                                                                      |
| Ontario CA PD                    | NB Palm @ Emporia(Code Enforcement)                                                                     |
| Ontario CA PD                    | Revenue - S. Employee PL West View                                                                      |
| Ontario CA PD                    | SB Palm @ Transit (Code Enforcement)                                                                    |
| Orinda CA PD                     | 01: Camino Pablo WB @ Santa Maria                                                                       |
