> SELECT n.name agency, c.name camera FROM network n INNER JOIN camera c ON n.network_id = c.network_id ORDER BY n.name, c.name LIMIT 2000;
+----------------------------------+---------------------------------------------------------------------------------------------------------+
| agency                           | camera                                                                                                  |
| Benicia CA PD                    | 27: Goodyear Rd SB into Benicia                                                                         |
| Benicia CA PD                    | 28: 2nd St SB @ Lake Herman                                                                             |
| Benicia CA PD                    | 29: Lake Herman WB @ 2nd St                                                                             |
| Benicia CA PD                    | 30: Reservoir Rd SB @ Lake Herman                                                                       |
| Benicia CA PD                    | 31: Rose Dr WB @ 2nd St                                                                                 |
| Benicia CA PD                    | 32: 5th St NB @ Military                                                                                |
| Benicia CA PD                    | 33: 5th St SB @ Military                                                                                |
| Benicia CA PD                    | 34: Military EB @ 5th St                                                                                |
| Benicia CA PD                    | 35: Military WB @ 5th St                                                                                |
| Benicia CA PD                    | 36: Military EB @ 2nd St                                                                                |
| Benicia CA PD                    | 37: Military WB @ 2nd St                                                                                |
| Benicia CA PD                    | 38: 1st NB @ K St                                                                                       |
| Benicia CA PD                    | 39: 1st St SB @ Military                                                                                |
| Benicia CA PD                    | 40: 1st St NB @ J St                                                                                    |
| Benicia CA PD                    | 41: 1st St SB @ J St                                                                                    |
| Benicia CA PD                    | 42: 1st NB @ H St                                                                                       |
| Benicia CA PD                    | 43: 1st St SB @ H St                                                                                    |
| Benicia CA PD                    | 44: Military WB @ 7th St                                                                                |
| Benicia CA PD                    | 45: Military EB @ 7th St                                                                                |
| Brisbane CA PD                   | #01 Bayshore Blvd @ Geneva Ave - NB                                                                     |
| Brisbane CA PD                   | #02 Bayshore Blvd @ Main St - SB                                                                        |
| Brisbane CA PD                   | #03 Bayshore Blvd @ San Bruno Ave - SB                                                                  |
| Brisbane CA PD                   | #04 Bayshore Blvd @ San Bruno Ave - NB - Original                                                       |
| Brisbane CA PD                   | #04 Bayshore Blvd @ San Bruno Ave - NB - Relocation                                                     |
| Brisbane CA PD                   | #05 Guadalupe Canyon Pkwy @ Carter St - EB                                                              |
| Brisbane CA PD                   | #06 Guadalupe Canyon Pkwy @ Carter St - WB                                                              |
| Brisbane CA PD                   | #07 Tunnel Ave @ Beatty Ave - NB                                                                        |
| Brisbane CA PD                   | #08 Tunnel Ave @ Beatty Ave - SB                                                                        |
| Brisbane CA PD                   | #09 Lagoon Rd @ Sierra Point Pkwy - WB                                                                  |
| Brisbane CA PD                   | #10 Lagoon Rd @ Sierra Point Pkwy - EB                                                                  |
| Brisbane CA PD                   | #11 Sierra Point Pkwy @ Marina Blvd - NB                                                                |
| Brisbane CA PD                   | #12 Sierra Point Pkwy @ Marina Blvd - SB                                                                |
| Brisbane CA PD                   | #13 Falcon Flex                                                                                         |
| Burlingame CA PD                 | #01 Trousdale Dr @ Hunt Dr - EB                                                                         |
| Burlingame CA PD                 | #02 Margarita Ave @ Skyline Blvd - EB                                                                   |
| Burlingame CA PD                 | #03 Broadway @ El Camino Real - EB                                                                      |
| Burlingame CA PD                 | #05 California Dr @ Peninsula Ave - NB                                                                  |
| Burlingame CA PD                 | #08 California Dr @ Burlingame Ave - SB                                                                 |
| Burlingame CA PD                 | #09 California Dr @ Murchison Ave - SB                                                                  |
| Burlingame CA PD                 | #10 Rollins Rd @ N Humboldt St - NB                                                                     |
| Burlingame CA PD                 | #11 Rollins Rd @ Broadway - SB - Original                                                               |
| Burlingame CA PD                 | #12 Rollins Rd @ Guittard Rd - SB                                                                       |
| Burlingame CA PD                 | #13 Airport Blvd @ Old Bayshore Hwy - EB                                                                |
| Burlingame CA PD                 | #14 Airport Blvd @ Beach Rd - NB                                                                        |
| Burlingame CA PD                 | #15 Old Bayshore Hwy @ Cowan Rd - SB                                                                    |
| Burlingame CA PD                 | #16 Broadway @ Rollins Rd - WB (Lanes 1,2)                                                              |
| Burlingame CA PD                 | #17 Broadway @ Rollins Rd - WB (Lanes 2,3)                                                              |
| Campbell CA PD                   | #01 WB Hamilton Ave @ NB Hwy 17 On ramp                                                                 |
| Campbell CA PD                   | #02 EB E Hamilton Ave @ Salmar Ave                                                                      |
| Campbell CA PD                   | #03 WB E Hamilton Ave @ SB Hwy 17 Off Ramp SB                                                           |
| Campbell CA PD                   | #04 NB Salmar Ave @ E Hamilton Ave                                                                      |
| Campbell CA PD                   | #05 NB Creekside Wy (Lanes 1&2) @ E Hamilton Ave                                                        |
| Campbell CA PD                   | #06 NB Creekside Wy (Lanes 3&4) @ E Hamilton Ave                                                        |
